Id,Monthly rent payment, number of all rooms in the house,persons younger than 12 years of age,years of schooling,=1 if predominant material on the outside wall is block or brick,"=1 if predominant material on the floor is mosaic, ceramic, terrazo",=1 if the house has ceiling,=1 if floor are good,Number of children 0 to 19 in household,years of education of male head of household,average years of education for adults (18+),# persons per room,=1 if the household has notebook or desktop computer,# of mobile phones,escolari squared,edjefe squared,hogar_nin squared,overcrowding squared,dependency squared,meaned squared,Target
ID_8d1510a53,0,6,1,15,1,1,1,1,1,15,14,2,1,2,225,225,1,4,1,196,4
ID_c52da52d4,0,6,1,12,1,1,1,1,1,15,14,2,1,2,144,225,1,4,1,196,4
ID_4f75bf2e4,350000,6,0,16,1,1,1,1,1,16,16.5,1,0,4,256,256,1,1,0.25,272.25,4
ID_dd93e20ec,350000,6,0,10,1,1,1,1,1,16,16.5,1,0,4,100,256,1,1,0.25,272.25,4
ID_c8f69febe,350000,6,0,17,1,1,1,1,1,16,16.5,1,0,4,289,256,1,1,0.25,272.25,4
ID_32e57e6be,270000,6,1,14,1,1,1,1,1,0,14,1,1,2,196,0,1,1,0.25,196,4
ID_67204372d,270000,6,1,1,1,1,1,1,1,0,14,1,1,2,1,0,1,1,0.25,196,4
ID_c946fea9c,270000,6,1,14,1,1,1,1,1,0,14,1,1,2,196,0,1,1,0.25,196,4
ID_202c0a339,3e+05,7,0,13,0,1,1,1,0,0,14.33,0.75,1,3,169,0,0,0.5625,0,"20.544.444,00",4
ID_0f688cf40,3e+05,7,0,15,0,1,1,1,0,0,14.33,0.75,1,3,225,0,0,0.5625,0,"20.544.444,00",4
ID_d7af7b303,3e+05,7,0,15,0,1,1,1,0,0,14.33,0.75,1,3,225,0,0,0.5625,0,"20.544.444,00",4
ID_c38cb27c5,250000,5,0,11,0,1,1,0,0,6,9.33,1,0,2,121,36,0,1,4,"8.711.110.699.999.990,00",4
ID_7855a5880,250000,5,0,6,0,1,1,0,0,6,9.33,1,0,2,36,36,0,1,4,"8.711.110.699.999.990,00",4
ID_6aee5943e,250000,5,0,11,0,1,1,0,0,6,9.33,1,0,2,121,36,0,1,4,"8.711.110.699.999.990,00",4
ID_48c10ba80,0,4,0,0,0,1,1,1,0,0,6.5,1,0,1,0,0,0,1,1,42.25,4
ID_1a283d51b,0,4,0,13,0,1,1,1,0,0,6.5,1,0,1,169,0,0,1,1,42.25,4
ID_b20ab1829,0,4,0,9,1,1,1,1,2,0,12,"13.333.334,00",0,4,81,0,4,"17.777.778.999.999.900,00",1,144,4
ID_aa4870ce2,0,4,0,9,1,1,1,1,2,0,12,"13.333.334,00",0,4,81,0,4,"17.777.778.999.999.900,00",1,144,4
ID_b2c2feb03,0,4,0,8,1,1,1,1,2,0,12,"13.333.334,00",0,4,64,0,4,"17.777.778.999.999.900,00",1,144,4
ID_f1b296d83,0,4,0,15,1,1,1,1,2,0,12,"13.333.334,00",0,4,225,0,4,"17.777.778.999.999.900,00",1,144,4
ID_d573a95c2,0,4,0,11,0,0,1,0,0,0,11,0.5,0,1,121,0,0,0.25,64,121,4
ID_b2e903868,130000,4,1,6,0,1,1,0,2,0,6,"45.048,00",0,4,36,0,4,"45.809,00",0.44444447999999998,36,4
ID_084179406,130000,4,1,6,0,1,1,0,2,0,6,"45.048,00",0,4,36,0,4,"45.809,00",0.44444447999999998,36,4
ID_3f2e2fa81,130000,4,1,4,0,1,1,0,2,0,6,"45.048,00",0,4,16,0,4,"45.809,00",0.44444447999999998,36,4
ID_c3ae81c15,130000,4,1,0,0,1,1,0,2,0,6,"45.048,00",0,4,0,0,4,"45.809,00",0.44444447999999998,36,4
ID_b31fa267f,130000,4,1,8,0,1,1,0,2,0,6,"45.048,00",0,4,64,0,4,"45.809,00",0.44444447999999998,36,4
ID_afbc25a99,1e+05,3,0,8,0,1,1,1,2,0,8,3,0,1,64,0,4,9,4,64,4
ID_cca2d38b1,1e+05,3,0,7,0,1,1,1,2,0,8,3,0,1,49,0,4,9,4,64,4
ID_f3583bbf7,1e+05,3,0,9,0,1,1,1,2,0,8,3,0,1,81,0,4,9,4,64,4
ID_072c16126,0,6,1,11,1,1,1,1,1,0,14,1,1,3,121,0,1,1,0.25,196,4
ID_b3dd09090,0,6,1,17,1,1,1,1,1,0,14,1,1,3,289,0,1,1,0.25,196,4
ID_121a92c4e,0,6,1,3,1,1,1,1,1,0,14,1,1,3,9,0,1,1,0.25,196,4
ID_4cf6a7097,0,4,1,4,0,1,1,1,1,0,11,"45.047,00",0,2,16,0,1,"45.689,00",0.25,121,4
ID_12e339d76,0,4,1,11,0,1,1,1,1,0,11,"45.047,00",0,2,121,0,1,"45.689,00",0.25,121,4
ID_c9fa0b1a8,0,4,1,11,0,1,1,1,1,0,11,"45.047,00",0,2,121,0,1,"45.689,00",0.25,121,4
ID_ccc920272,0,5,0,6,1,1,1,1,0,0,6,0.33333333999999998,0,1,36,0,0,0.11111111999999999,64,36,4
ID_cadf08b53,0,6,0,4,1,1,1,1,0,4,4,0.25,0,1,16,16,0,6.25E-2,64,16,4
ID_5be3504eb,0,5,0,4,0,1,1,1,0,0,6,0.66666669000000001,0,0,16,0,0,0.44444447999999998,1,36,4
ID_11c2487c3,0,5,0,8,0,1,1,1,0,0,6,0.66666669000000001,0,0,64,0,0,0.44444447999999998,1,36,4
ID_642ae6a8d,2e+05,5,1,7,1,1,1,1,2,14,11.5,2,0,4,49,196,4,4,1,132.25,4
ID_d483e2cc3,2e+05,5,1,14,1,1,1,1,2,14,11.5,2,0,4,196,196,4,4,1,132.25,4
ID_8881f94cf,2e+05,5,1,6,1,1,1,1,2,14,11.5,2,0,4,36,196,4,4,1,132.25,4
ID_45986680d,2e+05,5,1,8,1,1,1,1,2,14,11.5,2,0,4,64,196,4,4,1,132.25,4
ID_275651c54,2e+05,5,1,11,1,1,1,1,2,14,11.5,2,0,4,121,196,4,4,1,132.25,4
ID_fc8d5b445,2e+05,5,1,0,1,1,1,1,2,14,11.5,2,0,4,0,196,4,4,1,132.25,4
ID_d189a7af6,0,7,0,11,1,1,1,1,1,15,13,1,0,4,121,225,1,1,0.11111111999999999,169,4
ID_530183555,0,7,0,6,1,1,1,1,1,15,13,1,0,4,36,225,1,1,0.11111111999999999,169,4
ID_2a67a7630,0,7,0,15,1,1,1,1,1,15,13,1,0,4,225,225,1,1,0.11111111999999999,169,4
ID_60eaa56fd,0,7,0,13,1,1,1,1,1,15,13,1,0,4,169,225,1,1,0.11111111999999999,169,4
ID_fdf18bbee,0,5,0,14,0,1,1,0,0,0,9,"16.666.666,00",0,3,196,0,0,"27.777.777,00",6.25E-2,81,2
ID_cba836ed8,0,5,0,8,0,1,1,0,0,0,9,"16.666.666,00",0,3,64,0,0,"27.777.777,00",6.25E-2,81,2
ID_6031cb88d,0,5,0,9,0,1,1,0,0,0,9,"16.666.666,00",0,3,81,0,0,"27.777.777,00",6.25E-2,81,2
ID_0bc817cb2,0,5,0,0,0,1,1,0,0,0,9,"16.666.666,00",0,3,0,0,0,"27.777.777,00",6.25E-2,81,2
ID_1cfb76926,0,5,0,14,0,1,1,0,0,0,9,"16.666.666,00",0,3,196,0,0,"27.777.777,00",6.25E-2,81,2
ID_85a393415,0,7,0,17,1,1,1,1,0,17,12.75,1,0,3,289,289,0,1,9,"1.625.625,00",4
ID_5beff72a2,0,7,0,11,1,1,1,1,0,17,12.75,1,0,3,121,289,0,1,9,"1.625.625,00",4
ID_137c34443,0,7,0,17,1,1,1,1,0,17,12.75,1,0,3,289,289,0,1,9,"1.625.625,00",4
ID_2ab9e1c17,0,7,0,6,1,1,1,1,0,17,12.75,1,0,3,36,289,0,1,9,"1.625.625,00",4
ID_651377e3e,260000,5,1,1,0,0,1,1,2,10,9.5,2,0,5,1,100,4,4,1,90.25,4
ID_8296b0e0e,260000,5,1,9,0,0,1,1,2,10,9.5,2,0,5,81,100,4,4,1,90.25,4
ID_22d324777,260000,5,1,10,0,0,1,1,2,10,9.5,2,0,5,100,100,4,4,1,90.25,4
ID_272bdf973,260000,5,1,6,0,0,1,1,2,10,9.5,2,0,5,36,100,4,4,1,90.25,4
ID_9129298f7,0,6,0,14,1,0,1,1,0,0,12.5,0.66666669000000001,1,2,196,0,0,0.44444447999999998,64,156.25,4
ID_fc85fdf77,0,6,0,11,1,0,1,1,0,0,12.5,0.66666669000000001,1,2,121,0,0,0.44444447999999998,64,156.25,4
ID_643247b47,564834,6,2,0,1,1,1,0,2,0,13.5,"13.333.334,00",1,2,0,0,4,"17.777.778.999.999.900,00",1,182.25,4
ID_d0d07c405,564834,6,2,12,1,1,1,0,2,0,13.5,"13.333.334,00",1,2,144,0,4,"17.777.778.999.999.900,00",1,182.25,4
ID_39a4bc834,564834,6,2,0,1,1,1,0,2,0,13.5,"13.333.334,00",1,2,0,0,4,"17.777.778.999.999.900,00",1,182.25,4
ID_28fd4d90b,564834,6,2,15,1,1,1,0,2,0,13.5,"13.333.334,00",1,2,225,0,4,"17.777.778.999.999.900,00",1,182.25,4
ID_1440088c1,270000,5,1,3,1,1,1,1,1,0,7,0.66666669000000001,0,2,9,0,1,0.44444447999999998,1,49,3
ID_39f0d4e07,270000,5,1,7,1,1,1,1,1,0,7,0.66666669000000001,0,2,49,0,1,0.44444447999999998,1,49,3
ID_f46b0fb68,0,1,0,6,1,1,0,0,0,0,5.5,2,0,2,36,0,0,4,0,30.25,4
ID_46b298da9,0,1,0,5,1,1,0,0,0,0,5.5,2,0,2,25,0,0,4,0,30.25,4
ID_912ff9986,0,3,0,6,0,0,0,0,1,0,7.78,5,0,5,36,0,1,25,6.25E-2,"60.493.824,00",4
ID_3f1c6eec1,0,3,0,6,0,0,0,0,1,0,7.78,5,0,5,36,0,1,25,6.25E-2,"60.493.824,00",4
ID_44bb758b6,0,3,0,3,0,0,0,0,1,0,7.78,5,0,5,9,0,1,25,6.25E-2,"60.493.824,00",4
ID_fa7b8e81a,0,3,0,8,0,0,0,0,1,0,7.78,5,0,5,64,0,1,25,6.25E-2,"60.493.824,00",4
ID_bc8ba77e7,0,3,0,13,0,0,0,0,1,0,7.78,5,0,5,169,0,1,25,6.25E-2,"60.493.824,00",4
ID_fe1ee7296,0,3,0,6,0,0,0,0,1,0,7.78,5,0,5,36,0,1,25,6.25E-2,"60.493.824,00",4
ID_715f2450c,0,3,0,11,0,0,0,0,1,0,7.78,5,0,5,121,0,1,25,6.25E-2,"60.493.824,00",4
ID_cfbef9733,0,3,0,8,0,0,0,0,1,0,7.78,5,0,5,64,0,1,25,6.25E-2,"60.493.824,00",4
ID_f3b80aa49,0,3,0,4,0,0,0,0,1,0,7.78,5,0,5,16,0,1,25,6.25E-2,"60.493.824,00",4
ID_5523605f1,0,3,0,5,0,0,0,0,1,0,7.78,5,0,5,25,0,1,25,6.25E-2,"60.493.824,00",4
ID_c2ff78a35,175000,5,3,0,0,1,1,1,3,8,9.5,"16.666.666,00",0,2,0,64,9,"27.777.777,00","45.689,00",90.25,1
ID_bfaf299ff,175000,5,3,0,0,1,1,1,3,8,9.5,"16.666.666,00",0,2,0,64,9,"27.777.777,00","45.689,00",90.25,1
ID_4d206a96f,175000,5,3,0,0,1,1,1,3,8,9.5,"16.666.666,00",0,2,0,64,9,"27.777.777,00","45.689,00",90.25,1
ID_d1c8bde78,175000,5,3,8,0,1,1,1,3,8,9.5,"16.666.666,00",0,2,64,64,9,"27.777.777,00","45.689,00",90.25,1
ID_0d0f5ef53,175000,5,3,11,0,1,1,1,3,8,9.5,"16.666.666,00",0,2,121,64,9,"27.777.777,00","45.689,00",90.25,1
ID_4dcf8161f,0,7,1,0,0,1,1,1,1,0,7.5,"45.017,00",0,4,0,0,1,"19.599.999,00",0.16000001,56.25,4
ID_1339c6b89,0,7,1,5,0,1,1,1,1,0,7.5,"45.017,00",0,4,25,0,1,"19.599.999,00",0.16000001,56.25,4
ID_aaa431c01,0,7,1,12,0,1,1,1,1,0,7.5,"45.017,00",0,4,144,0,1,"19.599.999,00",0.16000001,56.25,4
ID_dcb22500e,0,7,1,6,0,1,1,1,1,0,7.5,"45.017,00",0,4,36,0,1,"19.599.999,00",0.16000001,56.25,4
ID_7e2ec5c5f,0,7,1,6,0,1,1,1,1,0,7.5,"45.017,00",0,4,36,0,1,"19.599.999,00",0.16000001,56.25,4
ID_cb94bd42b,0,7,1,11,0,1,1,1,1,0,7.5,"45.017,00",0,4,121,0,1,"19.599.999,00",0.16000001,56.25,4
ID_c6ed796db,0,7,1,5,0,1,1,1,1,0,7.5,"45.017,00",0,4,25,0,1,"19.599.999,00",0.16000001,56.25,4
ID_f435c5e46,0,3,3,0,0,0,0,0,3,0,4.5,"45.049,00",0,4,0,0,9,"45.992,00",0.5625,20.25,2
ID_a51262dae,0,3,3,1,0,0,0,0,3,0,4.5,"45.049,00",0,4,1,0,9,"45.992,00",0.5625,20.25,2
ID_7e6d23b28,0,3,3,5,0,0,0,0,3,0,4.5,"45.049,00",0,4,25,0,9,"45.992,00",0.5625,20.25,2
ID_4c409e16e,0,3,3,6,0,0,0,0,3,0,4.5,"45.049,00",0,4,36,0,9,"45.992,00",0.5625,20.25,2
ID_0704f4d9f,0,3,3,0,0,0,0,0,3,0,4.5,"45.049,00",0,4,0,0,9,"45.992,00",0.5625,20.25,2
ID_b0adca84e,0,3,3,0,0,0,0,0,3,0,4.5,"45.049,00",0,4,0,0,9,"45.992,00",0.5625,20.25,2
ID_0e4c312aa,0,3,3,7,0,0,0,0,3,0,4.5,"45.049,00",0,4,49,0,9,"45.992,00",0.5625,20.25,2
ID_dc773a4df,0,5,1,6,1,1,0,0,2,0,10,2,0,5,36,0,4,4,0.25,100,3
ID_2de72feaf,0,5,1,7,1,1,0,0,2,0,10,2,0,5,49,0,4,4,0.25,100,3
ID_5d8a796f5,0,5,1,0,1,1,0,0,2,0,10,2,0,5,0,0,4,4,0.25,100,3
ID_be4afa52d,0,5,1,11,1,1,0,0,2,0,10,2,0,5,121,0,4,4,0.25,100,3
ID_8854aa99d,0,5,1,11,1,1,0,0,2,0,10,2,0,5,121,0,4,4,0.25,100,3
ID_bee4053e0,0,5,1,11,1,1,0,0,2,0,10,2,0,5,121,0,4,4,0.25,100,3
ID_78d27ecd9,0,5,0,6,0,0,0,0,1,0,11.33,2,0,4,36,0,1,4,0.11111111999999999,"12.844.444,00",4
ID_77e2d94b3,0,5,0,6,0,0,0,0,1,0,11.33,2,0,4,36,0,1,4,0.11111111999999999,"12.844.444,00",4
ID_334a12687,0,5,0,11,0,0,0,0,1,0,11.33,2,0,4,121,0,1,4,0.11111111999999999,"12.844.444,00",4
ID_e477bac00,0,5,0,11,0,0,0,0,1,0,11.33,2,0,4,121,0,1,4,0.11111111999999999,"12.844.444,00",4
ID_482178fb2,25310,1,0,6,0,0,0,0,0,6,6,1,0,1,36,36,0,1,0,36,4
ID_814ac6e34,0,3,0,6,1,0,0,1,1,0,6,1,0,2,36,0,1,1,1,36,2
ID_1a23dbdc4,0,3,0,3,1,0,0,1,1,0,6,1,0,2,9,0,1,1,1,36,2
ID_6274a9721,0,4,4,0,0,0,0,0,5,5,6.25,3,0,4,0,25,25,9,"15.625,00","390.625,00",2
ID_fb96aba6c,0,4,4,6,0,0,0,0,5,5,6.25,3,0,4,36,25,25,9,"15.625,00","390.625,00",2
ID_1007ee397,0,4,4,0,0,0,0,0,5,5,6.25,3,0,4,0,25,25,9,"15.625,00","390.625,00",2
ID_2324f6d54,0,4,4,0,0,0,0,0,5,5,6.25,3,0,4,0,25,25,9,"15.625,00","390.625,00",2
ID_2688cd587,0,4,4,7,0,0,0,0,5,5,6.25,3,0,4,49,25,25,9,"15.625,00","390.625,00",2
ID_7c366bb18,0,4,4,0,0,0,0,0,5,5,6.25,3,0,4,0,25,25,9,"15.625,00","390.625,00",2
ID_6a9db453e,0,4,4,7,0,0,0,0,5,5,6.25,3,0,4,49,25,25,9,"15.625,00","390.625,00",2
ID_44031e6d2,0,4,4,5,0,0,0,0,5,5,6.25,3,0,4,25,25,25,9,"15.625,00","390.625,00",2
ID_7bd0b8524,0,4,4,7,0,0,0,0,5,5,6.25,3,0,4,49,25,25,9,"15.625,00","390.625,00",2
ID_21b09d0df,0,4,3,0,1,1,1,1,3,0,6,3,0,3,0,0,9,9,9,36,2
ID_86d18e12c,0,4,3,4,1,1,1,1,3,0,6,3,0,3,16,0,9,9,9,36,2
ID_c6d68ee69,0,4,3,6,1,1,1,1,3,0,6,3,0,3,36,0,9,9,9,36,2
ID_2e6116e4d,0,4,3,0,1,1,1,1,3,0,6,3,0,3,0,0,9,9,9,36,2
ID_19a964806,0,4,2,0,1,0,0,0,2,0,10,3,0,3,0,0,4,9,4,100,1
ID_51c2942c5,0,4,2,10,1,0,0,0,2,0,10,3,0,3,100,0,4,9,4,100,1
ID_bf09cd49a,0,4,2,0,1,0,0,0,2,0,10,3,0,3,0,0,4,9,4,100,1
ID_e5df547aa,0,7,0,16,1,1,1,1,0,16,16,0.25,0,1,256,256,0,6.25E-2,64,256,4
ID_a5078142a,0,6,0,17,1,1,1,1,0,14,15,1,1,3,289,196,0,1,0,225,4
ID_edff88e98,0,6,0,14,1,1,1,1,0,14,15,1,1,3,196,196,0,1,0,225,4
ID_fe66bbbbb,0,6,0,14,1,1,1,1,0,14,15,1,1,3,196,196,0,1,0,225,4
ID_6e02aef5b,4e+05,8,2,0,1,1,1,1,2,0,16,1,0,3,0,0,4,1,1,256,4
ID_8fac7a104,4e+05,8,2,15,1,1,1,1,2,0,16,1,0,3,225,0,4,1,1,256,4
ID_af4896dce,4e+05,8,2,17,1,1,1,1,2,0,16,1,0,3,289,0,4,1,1,256,4
ID_3e49a6561,4e+05,8,2,0,1,1,1,1,2,0,16,1,0,3,0,0,4,1,1,256,4
ID_ba367f2ed,450000,7,1,21,1,1,1,1,1,21,19,0.75,0,2,441,441,1,0.5625,0.25,361,4
ID_a724dc1ab,450000,7,1,0,1,1,1,1,1,21,19,0.75,0,2,0,441,1,0.5625,0.25,361,4
ID_c7cde8d96,450000,7,1,17,1,1,1,1,1,21,19,0.75,0,2,289,441,1,0.5625,0.25,361,4
ID_1ae8b64f3,0,7,0,14,1,1,1,1,0,14,10,0.5,0,2,196,196,0,0.25,1,100,4
ID_c06d2568f,0,7,0,6,1,1,1,1,0,14,10,0.5,0,2,36,196,0,0.25,1,100,4
ID_0f7cb455c,0,5,0,4,1,0,0,0,0,4,5,0.66666669000000001,0,0,16,16,0,0.44444447999999998,1,25,2
